bb,iaca.hsw,llvm-mca.13-r+a.hsw,llvm-mca.9-r+a.hsw,llvm-mca.8-r+a.hsw,uica.hsw,osaca.0.4.6.hsw,ithemal.bhive.hsw,difftune.artifact.hsw
c462e9f76d4066440ffcc64d0f45d8c50ddcddc57c51ce,14.0,14.12,14.12,14.12,14.0,14.0,4.62337036133,5.05
66450f46d2c4c11deac8c4414dd8d4660f381effc4e215accf,2.93,3.03,3.03,3.03,2.0,2.0,4.64151489258,3.07
66c18d8000000000c5fa5bdcc4e2cd9ab580000000480f4587800000004883f82a,4.96,8.11,15.04,5.11,6.0,5.0,5.85489807129,3.06
c5e251bd80000000c44101efeb9848014d40c4c17b2cdc,7.0,7.12,7.19,7.12,7.0,7.0,9.72551879883,9.09
6603464066440f3828be8000000066440fd7f5490fbaf42ac46229ba5e40,5.0,5.1,5.1,5.1,5.0,5.0,5.3303912353500005,3.06
c4c25902eec5b9769780000000c4e2e99ab5800000006644035d4066440fdc5740,5.0,5.11,5.11,5.11,5.0,5.0,8.37987792969,5.06
f2440f5f4540c57c595640c461fb2d8580000000c44261b8ccc4e28bf79f80000000,4.97,5.05,5.05,5.05,5.0,5.0,2.51543807983,5.05
f2490f2cdcc58572f42a66410f71d72a664155c4c1496de3,2.97,3.04,3.04,3.04,3.0,5.0,3.0932254028300004,6.06
c4429598ed80474000c4e209a96f40f2440f2ca680000000c4e27d1e7f40,4.95,5.09,7.07,5.09,6.0,6.0,6.6604302978500005,4.06
c462212b8d80000000c535fdcac505f987800000000f13474066440f38204f40,2.0,2.59,2.6,2.6,2.01,2.0,5.38620422363,4.07
c57c5bde8066402af2440f515d40c53debb7800000000c2a,14.0,14.11,14.11,14.11,8.0,14.0,8.17199035645,7.06
488375402a119f80000000f2440f597e40c5ebc2e62a660f6ecb,5.0,5.1,16.03,5.1,7.0,7.0,6.01113769531,4.05
8055400066450f3a41e42ac5792ef1c57ae69580000000f20f70f12a,9.0,9.05,9.08,9.05,9.0,9.0,6.0062878418,3.04
660f38204540c5535fda66410fdde548f76e40480fba77402a,3.0,4.09,7.13,4.09,6.0,2.0,8.613172607420001,5.06
660ffc9680000000c4627930d3c4413a5cccc4e22d404740c55166a680000000,2.0,3.18,3.18,3.18,3.0,2.0,5.59610351562,4.04
4c0f43b780000000410f48c1450fabdec4621d9cc9c4e345026d402a,5.0,8.03,8.03,8.03,5.0,2.0,3.20535705566,5.06
c4c13572f62ac5f971f12ac4e34d388e800000002ac442b1bec166f7fa,111.16,112.05,112.05,112.05,22.0,4.0,10.708614502,4.05
c5fc53be80000000f6a780000000c53a58858000000066450fdcdfc463310f5e402a,2.79,3.18,3.18,3.18,3.0,3.0,7.94287963867,6.06
66440f4de9c4625502ad80000000f2440f5ea68000000066ffc8c18f8000000000,14.0,20.1,20.18,20.1,8.0,14.0,16.661610107399998,5.05
c4c2fbf7cb48838f8000000000490f49d6c57b59ffc55d57e1,1.75,2.1,7.05,2.1,6.0,1.5,6.09665405273,5.05
c57d51dec5ba51fac4e241acd4f20f7c9d80000000410fbaf600,34.25,35.12,35.12,35.12,16.0,35.0,18.601032714800002,4.07
66410f3a0fcb2a66440f3820a78000000066440f3840e0c5c25a8580000000c52574f7,2.97,3.16,3.16,3.16,4.0,3.0,11.1214904785,3.05
4d0f40c9334d40c442f5a8c5c4417960d2c5fd69be80000000,5.0,5.04,5.04,5.04,5.0,5.0,5.8414630127,2.07
488387800000002a4183e400c501dec2c4e2699ddcc462a1bef4,5.0,5.05,7.03,5.05,6.0,6.0,6.10344482422,7.05
660f3a0b57402ac4417950e1c14f402ac4e2719baf80000000c57d51ae80000000,28.0,28.2,28.2,28.2,16.0,28.0,6.27981933594,4.06
0f176540c4e2ddbc6740440f44d2c5a9d54e400fbaf32a,5.0,5.1,5.1,5.1,5.0,5.0,3.4837527465800004,4.04
66410f73fa2a48f7574066295d4083be8000000000c57c11bf80000000,2.92,3.08,15.03,3.09,6.0,5.0,6.5428063964800005,6.04
c5fb107d40c4627918c4660ffbaf800000004d0f45d2c4c14dfcc2,1.77,2.08,2.08,2.08,3.0,2.0,3.3970428466800002,3.03
66c1464000c4e2f9b97e40660f38288680000000c463794147402a660f38394e40,6.0,6.2,8.17,6.2,6.0,5.0,7.53182617188,5.07
4821d1488b8680000000c5fae657404c114d40664183d200,2.48,3.12,9.15,4.12,7.0,7.0,6.42036315918,3.07
c57852d1c4c16172f02a668b46400f43d3440f53b580000000,2.82,3.13,3.13,3.13,3.0,3.0,7.04682983398,4.03
490fbaf62ac4410056f5f20f5cbd80000000c509558d80000000c46231bdc0,5.0,5.11,5.11,5.11,5.0,3.0,8.72170227051,4.98
660fdb7740c589daffc5cb519f80000000ff8d80000000c57976f9,13.97,14.12,14.19,14.12,8.0,14.0,13.345051269499999,8.05
fcc5e9de6640c04f402ac463412275402a490fbaf62a,2.48,4.09,8.11,4.09,8.0,2.25,6.56700561523,5.05
c5dd14bf80000000c4c17dd7ccc4e3094a8d80000000706683ad800000002ac4c1785af0,3.0,4.1,7.13,4.1,6.0,6.0,6.250712280269999,4.06
6683f02ac5dd579d80000000c4421529c3480fb7d8440f16c0,1.89,2.09,2.09,2.09,2.0,2.0,1.9662040710400002,3.05
440faf774083b5800000002a660f636f40440f28ae80000000c4e33941e62a,3.0,4.11,7.11,4.11,6.0,3.0,6.702318115230001,3.05
3c2ac525ef7d40c59d554740660f67b680000000242a,2.0,2.1,2.1,2.1,2.0,2.0,1.99734176636,2.07
0f12af80000000c462e1bdfec462edac5e40c5e1614f40f3440f7fbf80000000,5.0,6.03,6.04,6.04,5.0,2.0,3.78961303711,4.02
c4e2f19f9780000000c4e26dbc5f40c5d1e0c84413b780000000c4c11d71d12a,5.52,5.13,7.04,7.04,5.0,2.0,4.59834838867,4.05
66440febbe80000000c593597f40c46241a9754066440f488d8000000048ff4740,5.0,7.08,14.11,5.13,6.0,6.0,8.77524719238,5.12
c4c17c53dac5b0c286800000002ac579109d80000000c4e1fb2cd3c4c13a51f7,6.9,7.38,7.38,7.38,7.0,7.0,7.44897155762,4.05
0f2ea780000000c4c24504f8f30f7f7f40c4c14161cd4883bf8000000000,5.0,5.04,5.04,5.04,5.0,5.0,2.6907312011699998,2.05
c4627d59a58000000048c16e402a668347400044338580000000440f156640,2.51,4.09,14.1,4.09,6.0,6.0,6.3568713378899995,6.06
c4c21d04fa4983c200c509d2b580000000c4e2a5986f40c441225df6,5.0,8.07,8.07,8.07,5.0,5.0,2.15170272827,3.04
c5fc105640c4e37d39e22a66f7af800000006a0066834e402a,3.0,4.09,9.13,4.11,6.0,2.0,5.36269042969,5.07
83d02a0c004183d100660f295e4049f7c42a000000,2.92,3.04,3.04,3.18,3.09,2.0,5.53648376465,11.0
c4624d39c1c443610ff92a6683d32ac4627d17cdc462791e5f40,1.79,2.47,2.47,2.47,4.0,2.0,6.4254071044900005,4.08
450fbcccc4c27d58f3c4c17d71f32ac46245a8ddc4c1d22af8,5.97,5.05,5.05,5.05,5.2,5.0,5.28646484375,7.05
c442b0f2d466f75f40c4623900d3664531d549c1c500,2.76,2.08,7.03,3.04,6.0,1.5,6.04366394043,4.06
c4c2499ae36683d000c579e6c56611d0660fbae12a,4.81,5.03,5.03,5.03,5.0,5.0,5.29329101562,3.06
6641c1fa00c4c299a9e666410f71d72a440f51cec5a0565e40,7.0,7.08,7.08,7.08,7.0,7.0,11.1094689941,3.06
c4c1795ad266440fbc6d40c5805f5e40c4c17b12f766440f3a4157402a,8.83,9.12,9.12,9.12,9.0,4.0,7.93698181152,3.05
66410fbae02a66c16f4000660f57d0440f14c2f65740,2.0,3.1,14.04,3.1,12.0,6.0,5.48058105469,5.06
c4e2f5ac5540c4e3554b7d40e066410fbaf52ac4c2499fcfc595dffd,5.0,5.1,5.1,5.1,5.4,2.0,6.255964355470001,4.04
c51176e6c4411914f0480fbae92ac462f547e60f9c4640,1.49,2.04,2.04,2.04,4.0,1.5,2.24759658813,5.07
660fba77402a66450fbcd466410f55c866410f60c0c4c10966ed,1.79,2.08,7.03,2.08,6.0,2.0,6.6885913085899995,4.04
440f14edc561dbfe66440f3830f1f75d404883be800000002a,1.77,2.09,7.04,2.09,6.0,2.0,6.904229125980001,4.04
c5655ea580000000488385800000000066440f6fa5800000004983ee0080b78000000000,28.0,28.17,28.31,28.17,16.0,28.0,9.813367919920001,7.04
66410f71f42ac462499cae80000000c4e275ac9d80000000c5ba59ae80000000c4423946db,4.97,5.11,5.11,5.11,5.0,3.0,13.356002197299999,3.05
66450f3a22de2a66450fdaf2f2440f5cefc1474000660fbaa6800000002a,2.81,3.09,8.04,3.09,6.0,3.0,5.860695800779999,5.04
035e4066440f5aebc5f9f54d4066440fd5cec54b58f5,5.0,5.05,5.05,5.05,5.0,5.0,5.94492797852,3.03
c4e211ba96800000006683c22a66834f402ac5fe6f9780000000c4e2759a5640,2.0,2.67,7.15,2.67,6.0,1.5,6.373552246089999,5.07
